SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,REGION_POPULATION_RELATIVE,DAYS_REGISTRATION,DAYS_ID_PUBLISH
100012,0,Cash loans,M,Y,Y,2,98426,1159578,31339.95,922103.0,Pensioner,Lower secondary,Civil marriage,Office apartment,-12301,-489,Sales staff,1,Government,0.034516,0.242895,0.255815,0.028546,-4731,-1175
100013,1,Revolving loans,M,Y,Y,0,47609,1265134,,1044532.0,Commercial associate,Lower secondary,Married,Co-op apartment,-15451,-5715,Medicine staff,2,XNA,0.348414,0.497726,0.04053,0.012074,-18167,-3162
100014,0,Revolving loans,M,N,Y,0,73542,178213,5241.56,157985.0,State servant,Academic degree,Widow,Office apartment,-15312,-14929,nan,3,Self-employed,0.561699,0.447049,,0.054197,-18113,-5259
100015,0,Revolving loans,F,Y,Y,3,60793,205342,4563.16,191665.0,State servant,Lower secondary,Widow,With parents,-20130,-951,Laborers,2,Trade: type 7,0.1442,0.397472,0.083828,0.00233,-10390,-2563
100016,0,Revolving loans,F,Y,N,1,245364,228683,7885.62,193807.0,Working,Incomplete higher,Married,Co-op apartment,-18838,-9312,Laborers,1,XNA,,0.611225,0.341357,0.078207,-18446,-1336
100017,0,Cash loans,F,Y,Y,0,23288,202378,9199.0,142832.0,Working,Incomplete higher,Widow,Municipal apartment,-10078,-2829,Laborers,3,Government,,0.259174,,0.060158,-4029,-288
100018,0,Cash loans,F,Y,Y,0,70013,163980,3093.96,157731.0,Commercial associate,Incomplete higher,Civil marriage,Office apartment,-11682,-2681,nan,2,School,0.310426,0.58928,0.238663,0.005683,-19804,-6807
100019,0,Cash loans,F,Y,N,1,118210,888554,28663.03,759967.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-9617,-5613,Drivers,4,Other,,0.610024,,0.025274,-14884,-4421
100020,0,Cash loans,M,N,N,2,164469,40418,1122.72,29911.0,State servant,Secondary / secondary special,Married,Co-op apartment,-20754,365243,Sales staff,1,Self-employed,0.359526,0.581373,0.141577,0.056191,-6328,-1888
100021,0,Revolving loans,M,N,N,1,119865,689812,,682408.0,Pensioner,Lower secondary,Widow,Office apartment,-18324,-14776,Medicine staff,3,Self-employed,,0.672792,0.248574,0.075001,-20938,-93
100022,0,Revolving loans,F,Y,N,1,117621,332153,6919.85,240330.0,Working,Academic degree,Widow,Municipal apartment,-24157,-14790,Drivers,2,XNA,0.243815,0.411757,0.253113,0.069335,-1900,-766
100023,0,Revolving loans,M,N,Y,2,31864,508994,,420774.0,State servant,Secondary / secondary special,Married,With parents,-10797,-1637,Medicine staff,3,Government,,0.485842,0.137268,0.074902,-9453,-1260
100024,0,Revolving loans,M,N,N,1,217991,265389,6983.92,257047.0,Working,Lower secondary,Widow,Office apartment,-10425,-3967,Cleaning staff,1,Trade: type 7,,0.482496,,0.056455,-7512,-1030
100025,0,Revolving loans,M,Y,N,1,221920,64435,1092.12,59966.0,Commercial associate,Secondary / secondary special,Widow,Office apartment,-14916,-1850,Medicine staff,2,Construction,0.349059,0.355779,,0.01157,-12740,-4524
100026,0,Revolving loans,M,N,Y,3,104129,257720,19824.62,235133.0,Pensioner,Higher education,Single / not married,Rented apartment,-9397,-1893,Private service staff,3,Business Entity Type 3,0.201973,0.505127,0.369136,0.040621,-16238,-6670
100027,0,Cash loans,F,Y,Y,1,171990,116152,2037.75,113787.0,State servant,Secondary / secondary special,Separated,With parents,-7311,-14133,Accountants,3,Business Entity Type 2,0.592788,0.603639,,0.046791,-6772,-1658
100028,0,Cash loans,F,N,Y,1,115368,674670,12493.89,541794.0,State servant,Incomplete higher,Widow,Office apartment,-11761,-4377,Cleaning staff,4,Other,,0.640101,,0.049672,-1287,-4595
100029,1,Revolving loans,F,Y,N,1,29266,594527,11009.76,446407.0,Working,Incomplete higher,Single / not married,Co-op apartment,-19299,-12114,nan,3,Business Entity Type 3,,0.775081,,0.029434,-10494,-5380
100030,0,Cash loans,M,N,Y,0,84234,234859,6710.26,169993.0,Pensioner,Lower secondary,Married,Rented apartment,-13098,-10469,Core staff,2,Trade: type 7,0.067568,0.676844,0.252479,0.031761,-13666,-6194
100031,0,Revolving loans,F,Y,Y,2,509412,391502,7989.84,385676.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10928,-4646,nan,3,XNA,0.090528,0.69333,0.158175,0.070458,-17119,-742
100032,0,Cash loans,M,Y,N,2,106851,448731,8158.75,379341.0,Working,Incomplete higher,Separated,Co-op apartment,-9558,-6702,Laborers,4,XNA,0.12724,0.569568,0.337405,0.037562,-24392,-3139
100033,0,Cash loans,M,Y,N,2,194652,1040591,26681.82,1021269.0,Commercial associate,Academic degree,Civil marriage,Rented apartment,-19714,-1876,nan,2,Business Entity Type 2,,0.358641,,0.065761,-19390,-5717
100034,0,Cash loans,F,N,N,0,33704,152603,3114.35,135324.0,Pensioner,Academic degree,Widow,Municipal apartment,-10165,-13305,Drivers,4,Trade: type 7,,0.534124,0.354659,0.048893,-20253,-5632
100035,0,Cash loans,F,N,Y,0,78985,279336,7759.33,273038.0,Working,Lower secondary,Married,With parents,-14872,-13561,Cleaning staff,1,Other,0.242882,0.488466,,0.062156,-23404,-4477
100036,0,Revolving loans,F,Y,Y,0,873742,473860,10082.13,429051.0,Pensioner,Academic degree,Civil marriage,House / apartment,-7640,-4284,Cooking staff,4,Government,0.471259,0.092736,,0.06542,-2427,-1895
100037,0,Revolving loans,F,Y,Y,0,64119,167011,2830.69,123411.0,Pensioner,Lower secondary,Married,Rented apartment,-23983,-9239,Cooking staff,4,Business Entity Type 2,,0.51616,0.430537,0.00532,-6586,-4747
100038,0,Cash loans,F,N,Y,0,214377,205004,4881.05,168925.0,Working,Lower secondary,Separated,Rented apartment,-23610,365243,Sales staff,1,Trade: type 7,0.501041,0.380731,,0.063775,-22504,-3370
100039,0,Cash loans,M,N,Y,1,19945,202218,4044.36,143351.0,Commercial associate,Academic degree,Widow,Municipal apartment,-12733,-11377,Cleaning staff,2,Medicine,,0.559442,,0.069978,-3734,-941
100040,0,Cash loans,M,Y,N,3,29187,44711,3439.31,34333.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-21854,365243,Cleaning staff,1,Construction,0.176248,0.605931,,0.030014,-10361,-6622
100041,0,Cash loans,M,Y,N,2,83555,314958,7324.6,297573.0,Pensioner,Lower secondary,Civil marriage,Municipal apartment,-15750,-11302,Cooking staff,1,Medicine,0.15359,,,0.076448,-425,-1503
100042,0,Cash loans,F,N,Y,2,50927,431744,11070.36,374421.0,Pensioner,Lower secondary,Widow,House / apartment,-23324,-6959,Medicine staff,3,Self-employed,0.17762,0.298913,0.111399,0.000477,-2136,-6194
100043,0,Cash loans,M,N,N,1,228321,2078085,159852.69,1853473.0,Commercial associate,Incomplete higher,Separated,Co-op apartment,-10342,-13515,Private service staff,2,School,0.241974,0.237732,,0.037482,-9173,-1777
100044,0,Cash loans,M,Y,Y,2,157504,57034,1118.31,50761.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-14345,-3469,Core staff,4,Other,0.263712,0.738255,0.297039,0.046715,-18739,-6771
100045,0,Revolving loans,M,N,Y,1,163922,1488434,27563.59,1459227.0,Pensioner,Academic degree,Married,Office apartment,-17833,-10184,Core staff,2,Business Entity Type 3,0.382487,0.72389,,0.000517,-4479,-5984
100046,0,Cash loans,M,Y,Y,0,112866,138643,2520.78,123162.0,Working,Higher education,Widow,Office apartment,-20319,365243,Core staff,2,Business Entity Type 2,0.084192,0.478517,,0.066086,-12126,-1664
100047,0,Cash loans,F,Y,N,0,39442,511362,16495.55,480063.0,Commercial associate,Secondary / secondary special,Separated,With parents,-18952,-14539,Medicine staff,4,Trade: type 7,0.39899,0.638846,0.091995,0.049477,-22670,-4194
100048,0,Cash loans,M,N,N,2,79076,87615,4611.32,61622.0,Pensioner,Academic degree,Separated,Office apartment,-9026,-11599,Core staff,4,Business Entity Type 3,,0.687761,,0.047687,-14299,-4921
100049,0,Revolving loans,M,Y,Y,0,53760,235748,7604.77,180748.0,Working,Higher education,Civil marriage,Co-op apartment,-18013,-274,nan,4,Business Entity Type 3,0.050948,0.242328,0.032687,0.039773,-13892,-2564
100050,0,Revolving loans,M,Y,Y,1,125955,371512,6517.75,335592.0,Working,Incomplete higher,Married,Office apartment,-8403,-4319,Private service staff,3,Business Entity Type 2,0.110244,0.657407,,0.038985,-10771,-2809
100051,0,Cash loans,F,Y,N,0,232552,313697,10456.57,293728.0,State servant,Lower secondary,Single / not married,Municipal apartment,-16106,365243,Medicine staff,3,XNA,0.432263,0.659649,0.781083,0.024951,-934,-5106
100052,0,Cash loans,M,N,Y,3,1258045,482260,40188.33,342428.0,Pensioner,Academic degree,Civil marriage,Co-op apartment,-21143,-8231,Cleaning staff,3,Self-employed,0.19805,0.315261,0.354433,0.06048,-22010,-2369
100053,0,Cash loans,F,N,N,3,40004,554907,12904.81,472034.0,Pensioner,Academic degree,Widow,House / apartment,-19355,-12617,Managers,4,Medicine,,0.742392,,0.017733,-18494,-1186
100054,0,Revolving loans,M,N,Y,1,106619,221272,4917.16,187892.0,Pensioner,Higher education,Civil marriage,Co-op apartment,-14955,-5322,Laborers,2,XNA,0.239444,0.103466,0.018833,0.025262,-10729,-1634
100055,0,Revolving loans,F,Y,Y,0,134132,318107,11781.74,234516.0,Commercial associate,Academic degree,Widow,Municipal apartment,-23293,-14900,Private service staff,2,Medicine,0.390592,0.739987,0.17987,0.022409,-23881,-5904
100056,0,Cash loans,F,Y,N,0,52233,819418,48201.06,794474.0,Commercial associate,Academic degree,Single / not married,Rented apartment,-19850,-11732,Private service staff,3,Trade: type 7,,0.57014,,0.051008,-22799,-1045
100057,0,Cash loans,F,N,N,1,70311,110184,1899.72,96446.0,Commercial associate,Lower secondary,Separated,House / apartment,-10527,-3979,Drivers,1,School,,0.831831,,0.072536,-11134,-3611
100058,0,Cash loans,F,N,Y,1,64065,180370,5818.39,161909.0,Pensioner,Higher education,Separated,Co-op apartment,-17531,-3532,Private service staff,3,School,,0.398251,0.060773,0.040576,-16297,-1720
100059,1,Cash loans,F,N,Y,0,244492,216855,6195.86,173607.0,Working,Lower secondary,Civil marriage,Co-op apartment,-8811,-7542,Sales staff,3,Self-employed,0.25565,0.419078,,0.030902,-22174,-3139
100060,0,Cash loans,M,Y,Y,1,33001,223899,6784.82,203980.0,State servant,Secondary / secondary special,Single / not married,With parents,-14142,-528,Cleaning staff,2,Self-employed,,0.22846,0.141553,0.019585,-8275,-3572
100061,0,Revolving loans,M,N,Y,1,91952,112493,3214.09,110915.0,Commercial associate,Academic degree,Civil marriage,Municipal apartment,-11119,-9776,Medicine staff,3,Other,0.337767,0.567687,0.198588,0.015744,-1393,-1925
100062,0,Cash loans,M,Y,Y,3,18659,52114,1737.13,50028.0,Pensioner,Lower secondary,Civil marriage,Office apartment,-9375,-2291,Cleaning staff,2,Trade: type 7,0.208683,0.61118,0.475137,0.003702,-15392,-2540
100063,0,Cash loans,F,N,Y,2,71937,1605453,94438.41,1300416.0,Pensioner,Secondary / secondary special,Widow,Rented apartment,-16675,-10809,Managers,1,Business Entity Type 3,0.308771,0.898155,0.466614,0.021977,-22988,-6257
100064,0,Cash loans,F,Y,Y,0,137697,79721,3796.24,64071.0,Commercial associate,Incomplete higher,Widow,House / apartment,-18820,365243,Managers,3,Government,,0.321315,0.418451,0.024076,-9329,-3357
100065,0,Revolving loans,F,Y,N,1,28634,604653,17783.91,450696.0,Commercial associate,Higher education,Married,Rented apartment,-20361,-2333,Cleaning staff,1,Business Entity Type 2,0.143283,,0.188455,0.020703,-13938,-3437
100066,0,Cash loans,F,Y,Y,0,74760,304602,9518.81,282134.0,State servant,Higher education,Separated,Co-op apartment,-8245,-5720,Cleaning staff,3,Medicine,,0.751507,0.442895,0.002727,-24324,-6804
100067,0,Revolving loans,F,Y,N,3,66711,145441,12120.08,118376.0,Working,Academic degree,Separated,Co-op apartment,-24314,-1578,Cooking staff,2,XNA,0.214697,0.321208,0.327309,0.066319,-3596,-5381
100068,0,Cash loans,M,N,N,0,109219,143390,2926.33,111927.0,Commercial associate,Higher education,Separated,Office apartment,-14157,-6330,nan,2,Construction,0.126598,0.203766,,0.002675,-15663,-2830
100069,0,Cash loans,F,Y,Y,3,194213,524678,10287.8,421799.0,Commercial associate,Lower secondary,Widow,Co-op apartment,-13958,-14123,Accountants,3,Other,0.344891,0.848748,0.339281,0.075026,-23465,-3381
100070,0,Revolving loans,F,N,Y,1,73201,634364,17144.97,482798.0,Working,Academic degree,Separated,Co-op apartment,-15450,365243,Laborers,4,Construction,0.06559,0.564227,,0.031007,-1494,-5227
100071,0,Cash loans,M,Y,N,0,422501,107043,2184.55,84251.0,Pensioner,Secondary / secondary special,Separated,Co-op apartment,-9697,-4994,Core staff,2,Other,0.388997,0.487881,0.535964,0.035531,-2136,-4292
100072,0,Revolving loans,F,Y,Y,1,24308,112594,3632.06,100348.0,Commercial associate,Lower secondary,Widow,Co-op apartment,-17841,365243,Managers,2,Other,0.3276,0.435638,0.653669,0.00705,-1356,-6119
100073,0,Revolving loans,F,Y,N,1,143415,367469,6228.29,257460.0,Pensioner,Higher education,Separated,Municipal apartment,-10957,-4333,Cooking staff,2,Construction,0.584182,0.360801,0.451209,0.068663,-13761,-4544
100074,0,Cash loans,M,Y,Y,0,185114,1815548,43227.33,1352614.0,Pensioner,Incomplete higher,Separated,Municipal apartment,-21348,-6144,Cooking staff,2,Other,,0.22247,,0.054732,-20144,-6586
100075,0,Cash loans,F,N,N,0,221008,720739,13598.85,578354.0,Commercial associate,Lower secondary,Married,Office apartment,-22988,-10757,Accountants,3,School,,0.776352,,0.059007,-9829,-1505
100076,0,Cash loans,F,N,N,0,146279,82338,1715.38,73169.0,Commercial associate,Incomplete higher,Single / not married,Rented apartment,-12629,-3515,Cleaning staff,4,Business Entity Type 3,,0.549163,0.258543,0.010707,-3133,-5620
100077,0,Revolving loans,M,Y,N,0,97355,302908,9179.03,302381.0,Pensioner,Academic degree,Married,Office apartment,-22620,-4878,Managers,1,Trade: type 7,0.049512,,0.166457,0.07094,-10208,-449
100078,0,Cash loans,M,Y,Y,0,95696,172694,14391.17,127846.0,Pensioner,Secondary / secondary special,Civil marriage,Office apartment,-12072,-9609,Accountants,3,Other,,0.427324,0.210741,0.060116,-229,-4876
100079,0,Cash loans,M,N,Y,1,104979,335433,7454.07,300942.0,Pensioner,Higher education,Married,Office apartment,-24401,-4984,Private service staff,3,Self-employed,,0.632404,0.391232,0.037218,-12490,-6649
100080,0,Cash loans,M,Y,N,1,50119,728215,19163.55,722245.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-12378,-8602,Managers,2,School,,0.472267,0.179807,0.015289,-23771,-2188
100081,0,Cash loans,M,N,Y,0,155416,599124,16192.54,474147.0,Pensioner,Incomplete higher,Civil marriage,House / apartment,-8497,365243,Cooking staff,2,Trade: type 7,0.300913,0.429764,0.541465,0.004484,-3921,-521
100082,0,Revolving loans,M,Y,Y,0,148561,59805,1661.25,47050.0,Pensioner,Lower secondary,Single / not married,House / apartment,-18661,365243,Laborers,1,Medicine,,0.895743,,0.065758,-6206,-6609
100083,0,Cash loans,F,N,Y,3,543341,112291,,,Pensioner,Academic degree,Civil marriage,With parents,-24127,-10308,Cleaning staff,2,Self-employed,,0.31959,0.36314,0.076321,-14216,-4647
100084,0,Cash loans,F,Y,N,3,30427,719965,51426.07,625960.0,State servant,Higher education,Widow,With parents,-13218,-11980,Laborers,2,School,0.392781,0.684656,0.161114,0.072509,-14743,-2370
100085,0,Cash loans,F,N,N,1,488371,175663,9759.06,131836.0,Working,Higher education,Married,House / apartment,-24912,-11174,Laborers,2,Self-employed,,0.814332,,0.021516,-6519,-6855
100086,1,Cash loans,M,Y,N,3,88201,656790,11728.39,612179.0,Working,Academic degree,Widow,Rented apartment,-15206,-5646,Managers,1,Trade: type 7,,0.617023,,0.059387,-4593,-1144
100087,0,Cash loans,M,Y,N,0,90327,642193,22935.46,640283.0,Working,Academic degree,Civil marriage,Municipal apartment,-19699,-9077,Drivers,4,Business Entity Type 3,0.172823,0.632023,0.116688,0.071934,-8139,-4605
100088,0,Revolving loans,M,N,N,1,58467,553268,36884.53,443898.0,Commercial associate,Higher education,Civil marriage,Office apartment,-8682,-3636,Medicine staff,2,Self-employed,0.167364,0.657129,,0.019078,-14920,-5874
100089,0,Cash loans,F,N,N,1,29358,167834,3814.41,162823.0,Pensioner,Incomplete higher,Separated,Office apartment,-15521,-14472,Drivers,3,Government,0.163328,,,0.035129,-5870,-6649
100090,0,Cash loans,F,N,Y,1,223862,115017,2300.34,98203.0,Commercial associate,Secondary / secondary special,Married,Office apartment,-12071,-11822,Drivers,3,Trade: type 7,0.284068,,,0.032386,-18327,-5286
100091,1,Cash loans,F,N,N,0,56962,143969,6855.67,126037.0,Pensioner,Incomplete higher,Civil marriage,Co-op apartment,-24723,-12919,Private service staff,2,Business Entity Type 2,0.097927,0.425921,0.092815,0.040639,-11443,-6416
100092,0,Cash loans,M,Y,Y,0,55392,1233280,23716.92,886316.0,State servant,Academic degree,Civil marriage,House / apartment,-10814,-9588,Cleaning staff,4,Medicine,,0.53452,0.145828,0.007053,-2140,-5312
100093,0,Revolving loans,M,Y,N,3,93769,292996,5979.51,224214.0,Working,Academic degree,Widow,Municipal apartment,-23880,365243,Cooking staff,3,Construction,,0.286724,0.581974,0.037641,-20014,-2066
100094,0,Cash loans,F,N,Y,0,46611,560285,14744.34,520002.0,Commercial associate,Incomplete higher,Widow,Municipal apartment,-7945,-7745,Accountants,4,XNA,,0.315108,0.509137,0.052735,-13819,-6689
100095,0,Revolving loans,F,N,Y,0,222767,206063,5569.27,151388.0,State servant,Lower secondary,Widow,Rented apartment,-21481,-8447,Drivers,3,Business Entity Type 2,,0.325024,0.523677,0.047853,-15812,-6171
100096,0,Cash loans,F,N,N,0,481715,113826,2995.42,92020.0,Working,Lower secondary,Married,Municipal apartment,-20976,-3275,Cleaning staff,1,Government,0.498333,0.357046,,0.045367,-17271,-4916
100097,0,Cash loans,M,Y,Y,1,143697,2295311,45006.1,1675072.0,Pensioner,Higher education,Married,Co-op apartment,-13678,-8580,Accountants,3,Business Entity Type 3,0.512422,0.472659,,0.079456,-14597,-607
100098,0,Revolving loans,F,N,Y,1,80317,96944,,80658.0,Pensioner,Higher education,Married,Rented apartment,-9935,-10842,Sales staff,2,Business Entity Type 3,,0.829578,0.26676,0.023452,-11292,-4181
100099,0,Revolving loans,F,N,N,0,21499,176684,5196.59,155241.0,State servant,Academic degree,Civil marriage,With parents,-19610,-12023,Cleaning staff,2,Medicine,0.360743,0.821294,0.546167,0.07153,-12962,-4512
100100,1,Cash loans,M,Y,N,0,21228,356663,20980.18,,Commercial associate,Higher education,Married,Office apartment,-24864,-577,Cleaning staff,4,School,,0.32187,0.431118,0.071342,-2137,-4094
100101,1,Revolving loans,M,Y,Y,2,84431,283256,16662.12,245190.0,State servant,Secondary / secondary special,Single / not married,Rented apartment,-24906,-8309,nan,3,Trade: type 7,0.234007,0.563753,0.330899,0.01349,-23540,-2336
100102,0,Cash loans,F,Y,Y,2,389559,485137,8364.43,403892.0,State servant,Academic degree,Separated,Municipal apartment,-14903,-6567,Core staff,2,Government,0.124472,0.400906,0.459214,0.051195,-5824,-2976
100103,0,Revolving loans,F,Y,Y,3,50728,603129,20797.55,572586.0,Commercial associate,Academic degree,Separated,Rented apartment,-9682,365243,Laborers,2,Medicine,,,0.274579,0.033929,-23461,-662
100104,0,Revolving loans,M,Y,N,0,96865,686016,11827.86,631702.0,State servant,Secondary / secondary special,Civil marriage,Rented apartment,-23466,-14376,Core staff,2,Medicine,0.240185,0.475196,0.643309,0.069384,-5929,-989
100105,0,Cash loans,M,Y,N,1,55659,583637,19454.57,537628.0,Commercial associate,Academic degree,Widow,Co-op apartment,-11905,-4207,Accountants,1,Medicine,0.118748,0.707473,0.531218,0.005055,-922,-3300
100106,0,Cash loans,F,N,Y,0,246920,848809,36904.74,664199.0,Working,Secondary / secondary special,Separated,Co-op apartment,-17933,365243,Cleaning staff,1,Trade: type 7,,0.868199,0.311982,0.068006,-15619,-887
100107,0,Cash loans,F,Y,N,0,46156,250056,4718.04,,Working,Lower secondary,Single / not married,With parents,-20650,-9328,Cleaning staff,2,Government,0.263747,0.258308,0.304927,0.066113,-2918,-841
100108,0,Revolving loans,F,Y,Y,1,81333,350519,21907.44,313952.0,Commercial associate,Academic degree,Married,House / apartment,-11881,-6722,Laborers,2,Government,0.556137,0.628778,0.328868,0.012267,-22855,-295
100109,0,Cash loans,F,N,N,0,156094,437434,15083.93,422558.0,State servant,Secondary / secondary special,Married,Office apartment,-20221,365243,Drivers,4,Government,0.154189,0.230713,,0.014747,-9498,-6549
100110,0,Revolving loans,M,Y,Y,0,119942,118639,2471.65,109952.0,Pensioner,Academic degree,Single / not married,House / apartment,-18602,365243,Cleaning staff,4,Government,0.255902,0.114746,0.458746,0.06045,-17092,-1742
100111,0,Cash loans,M,N,Y,0,93184,156152,9185.41,125784.0,Working,Secondary / secondary special,Separated,Municipal apartment,-21137,-13312,Managers,2,Trade: type 7,,0.226218,0.169198,0.019927,-20563,-4011
100112,0,Revolving loans,F,Y,Y,1,59768,279629,15534.94,258766.0,Pensioner,Academic degree,Single / not married,With parents,-23607,-7089,Cooking staff,2,Medicine,,0.610666,0.614141,0.023499,-3313,-3318
100113,0,Cash loans,M,Y,N,0,176740,79956,1701.19,72609.0,Working,Higher education,Civil marriage,With parents,-20804,-6980,Managers,2,Trade: type 7,,0.48968,0.399788,0.021633,-24262,-1823
100114,0,Cash loans,M,N,N,0,102628,279234,13296.86,222899.0,Commercial associate,Higher education,Separated,House / apartment,-23707,-10114,Core staff,3,Trade: type 7,,0.549416,0.500157,0.045884,-1139,-695
100115,1,Cash loans,M,N,Y,0,5845,72806,3309.36,67029.0,Working,Higher education,Single / not married,Co-op apartment,-18946,-12507,Sales staff,3,School,0.011807,,,0.071287,-9526,-5920
100116,0,Revolving loans,M,Y,Y,0,75402,1237617,68756.5,,Commercial associate,Higher education,Widow,Co-op apartment,-16097,-3772,Cooking staff,2,Business Entity Type 2,0.132138,0.533052,0.029845,0.067629,-1537,-1668
100117,0,Cash loans,M,N,Y,0,48974,308440,12337.6,249580.0,Pensioner,Incomplete higher,Widow,Office apartment,-9387,-10095,nan,2,Business Entity Type 3,0.31543,0.174166,0.287375,0.024305,-19269,-3790
100118,0,Revolving loans,F,Y,N,0,128722,176955,3276.94,141005.0,Commercial associate,Academic degree,Widow,Co-op apartment,-11384,-7496,Drivers,2,Other,0.185899,0.47696,0.317895,0.06068,-22951,-5623
100119,0,Revolving loans,F,Y,N,0,163027,361403,27800.23,,Pensioner,Secondary / secondary special,Separated,With parents,-16404,-4148,Laborers,3,Other,0.1117,0.732617,0.577806,0.012088,-18055,-6016
100120,0,Revolving loans,F,Y,N,1,106691,606320,30316.0,499831.0,Working,Lower secondary,Separated,House / apartment,-21381,-8369,Managers,3,Business Entity Type 3,,0.673082,0.282355,0.075576,-22245,-3558
100121,0,Revolving loans,F,N,N,1,12094,659774,20617.94,607211.0,Commercial associate,Incomplete higher,Married,Co-op apartment,-23030,-2919,Sales staff,3,Business Entity Type 2,,0.382605,0.259258,0.000876,-12448,-3567
100122,0,Revolving loans,M,N,N,3,54589,387333,8803.02,274290.0,Working,Academic degree,Separated,Municipal apartment,-19385,-13985,Drivers,2,XNA,,0.523142,0.600767,0.04227,-12152,-2098
100123,0,Cash loans,M,N,Y,0,89132,2918232,243186.0,2853242.0,Working,Secondary / secondary special,Married,With parents,-13758,-4646,Private service staff,1,School,,0.755917,,0.011425,-19356,-59
100124,0,Revolving loans,F,N,Y,0,126289,509651,8941.25,395379.0,Pensioner,Incomplete higher,Single / not married,House / apartment,-24340,-6858,Cooking staff,2,Trade: type 7,0.572074,0.862085,0.310403,0.067031,-8817,-903
100125,1,Revolving loans,F,Y,N,0,156770,381179,11211.15,362272.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-17399,365243,nan,4,Government,0.281325,0.443088,0.429933,0.049133,-21760,-4514
